wav_filename,wav_filesize,transcript
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SA1_rif.wav,108794, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SA2_rif.wav,94252, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SX392_rif.wav,101012, a young mouse scampered across the field and disappeared
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SI1112_rif.wav,113300, he will say that our country is even now a homogeneous community
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SI1879_rif.wav,78688, that touched off a total stampede
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SI1249_rif.wav,78278, maybe twenty thirty fifty
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SI619_rif.wav,84012, he praises many individuals generously
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SX259_rif.wav,87290, tornados often destroy acres of farm land
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SA1_rif.wav,107770, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SX79_rif.wav,87494, will you please describe the idiotic predicament
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SX169_rif.wav,90772, how would you evaluate this algebraic expression
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SA2_rif.wav,86470, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SX349_rif.wav,135828, the preschooler couldn't verbalize her feelings about the emergency conditions
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFWK0/SX439_rif.wav,108384, that stinging vapor was caused by chloride vaporization
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SX326_rif.wav,99782, steve collects rare and novel coins
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SX236_rif.wav,79916, clear pronunciation is appreciated
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SI1250_rif.wav,141152, evidence that other sources of financing are unavailable must be provided
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SI1316_rif.wav,92614, space probes have yielded little information
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SA1_rif.wav,107974, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SX56_rif.wav,91180, academic aptitude guarantees your diploma
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SX146_rif.wav,79916, cyclical programs will never compile
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SX416_rif.wav,82170, a huge power outage rarely occurs
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SA2_rif.wav,90566, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MKAM0/SI1465_rif.wav,162656, this process is especially difficult since gyro drifting is typically random
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SI2063_rif.wav,78892, to his surprise his plan worked perfectly
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SI803_rif.wav,108998, insulate weatherstrip doubleglaze to the maximum
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SX83_rif.wav,81964, my instructions desperately need updating
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SX263_rif.wav,74796, how oily do you like your salad dressing
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SI1433_rif.wav,137260, while one element is announcing progress another is delineating its problems
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SX173_rif.wav,110636, whoever cooperates in finding nan's cameo will be rewarded
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SX353_rif.wav,93228, a connoisseur will enjoy this shellfish dish
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SA1_rif.wav,104084, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SX443_rif.wav,87904, a lone star shone in the early evening sky
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MSMS0/SA2_rif.wav,89132, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SX435_rif.wav,144224, the rich should invest in black zircons instead of stylish shoes
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SX345_rif.wav,111660, trish saw hours and hours of movies saturday
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SX75_rif.wav,95892, fill that canteen with fresh spring water
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SX165_rif.wav,120262, the easygoing zoologist relaxed throughout the voyage
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SI1256_rif.wav,90976, origin of state automobile practices
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SI1335_rif.wav,101626, inflammatory cells were strikingly absent
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SX255_rif.wav,98758, my ideal morning begins with hot coffee
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SA1_rif.wav,117804, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SA2_rif.wav,102444, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MGJC0/SI1965_rif.wav,104288, if the other pilots were worried they did not show it
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SX116_rif.wav,81146, clasp the screw in your left hand
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SX260_rif.wav,114732, remember to allow identical twins to enter freely
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SX80_rif.wav,75412, it's illegal to postdate a check
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SI620_rif.wav,171258, his portrayal of an edgy headintheclouds artist is virtually flawless
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SI686_rif.wav,54316, others were ephemeral
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SX440_rif.wav,137876, the advertising verse of plymouth variety store never changes
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SI1880_rif.wav,102240, he picked up the powder canister and ran out
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SA1_rif.wav,134188, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SA2_rif.wav,114324, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FLKM0/SX350_rif.wav,144634, many wealthy tycoons splurged and bought both a yacht and a schooner
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SI2184_rif.wav,59436, either that or a veterinarian
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SX225_rif.wav,69268, keep the thermometer under your tongue
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SI1935_rif.wav,106746, in my place you'd follow such advice as you give me
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SX45_rif.wav,83808, addition and subtraction are learned skills
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SA1_rif.wav,94868, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SX405_rif.wav,75820, of course you can have another tunafish sandwich
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SX315_rif.wav,92820, bob found more clams at the ocean's edge
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SX135_rif.wav,90976, technical writers can abbreviate in bibliographies
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SA2_rif.wav,95072, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMGC0/SI1305_rif.wav,135622, if they are not ellipsoids the conclusions will be a reasonable approximation
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SX362_rif.wav,121492, the annoying raccoons slipped into phil's garden every night
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SX272_rif.wav,90362, allow each child to have an ice pop
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SX182_rif.wav,76230, thick glue oozed out of the tube
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SX92_rif.wav,94662, a large household needs lots of appliances
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SI1172_rif.wav,154668, he was busy he said in having someone submit to a monkeygland operation
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SA1_rif.wav,110022, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SA2_rif.wav,94048, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SI542_rif.wav,91590, she came back the other day to reassure me
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SX452_rif.wav,123948, in developing film many toxic chemicals are used
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJXL0/SI1795_rif.wav,55340, he shrugged casually
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SI1781_rif.wav,64966, the shadow vanished
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SI1151_rif.wav,74592, for what do the utopians labor
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SX251_rif.wav,125382, we apply auditory modeling to computer speech recognition
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SA1_rif.wav,115348, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SX341_rif.wav,106746, the high security prison was surrounded by barbed wire
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SX431_rif.wav,113708, the fifth jar contains big juicy peaches
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SI521_rif.wav,152826, traffic frequently has failed to measure up to engineers' rosy estimates
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SA2_rif.wav,86060, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SX71_rif.wav,95482, porcupines resemble sea urchins
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMBS0/SX161_rif.wav,137056, as a precaution the outlaws bought gunpowder for their stronghold
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SX91_rif.wav,112684, the misprint provoked an immediate disclaimer
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SX271_rif.wav,99988, be careful not to plow over the flower beds
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SX181_rif.wav,152620, rich looked for spotted hyenas and jaguars on the safari
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SX361_rif.wav,119238, the speech symposium might begin monday
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SI2071_rif.wav,90156, yeah but what're we gonna eat
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SI1441_rif.wav,249286, other morphological physical and optical property values are also given
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SX451_rif.wav,164500, the thick elm forest was nearly overwhelmed by dutch elm disease
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SA1_rif.wav,154668, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SI480_rif.wav,77460, range was a vital detail
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTQC0/SA2_rif.wav,115962, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SI1969_rif.wav,86880, if any of us miss they can pick up the pieces
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SX259_rif.wav,118828, tornados often destroy acres of farm land
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SI1531_rif.wav,50630, who is going to stop me
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SA1_rif.wav,113504, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SX79_rif.wav,105312, will you please describe the idiotic predicament
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SI709_rif.wav,104288, avocados however are very rich in nutrients
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SX169_rif.wav,92410, how would you evaluate this algebraic expression
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SA2_rif.wav,100806, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SX349_rif.wav,137670, the preschooler couldn't verbalize her feelings about the emergency conditions
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MBWP0/SX439_rif.wav,110022, that stinging vapor was caused by chloride vaporization
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SX435_rif.wav,115962, the rich should invest in black zircons instead of stylish shoes
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SX345_rif.wav,82170, trish saw hours and hours of movies saturday
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SX75_rif.wav,75206, fill that canteen with fresh spring water
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SX165_rif.wav,90156, the easygoing zoologist relaxed throughout the voyage
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SI1717_rif.wav,82374, lullaby and goodnight his voice shook
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SX255_rif.wav,81760, my ideal morning begins with hot coffee
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SI1155_rif.wav,123540, his problem concerns longitudes latitudes and angular velocities
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SA1_rif.wav,95276, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SA2_rif.wav,76640, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MFRM0/SI1785_rif.wav,89338, on the bare floorboards a man lay face down
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SX225_rif.wav,65172, keep the thermometer under your tongue
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SI1755_rif.wav,97530, only then did he decide he didn't want one
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SX45_rif.wav,90566, addition and subtraction are learned skills
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SA1_rif.wav,102444, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SX405_rif.wav,86676, of course you can have another tunafish sandwich
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SI1125_rif.wav,81556, but in every period it has been humanism
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SX315_rif.wav,95072, bob found more clams at the ocean's edge
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SX135_rif.wav,106336, technical writers can abbreviate in bibliographies
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SA2_rif.wav,82988, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MJRH0/SI1840_rif.wav,152006, the good man chortled appreciatively and decided the trip was worth his time
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SX337_rif.wav,93228, bob bandaged both wounds with the skill of a doctor
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SX247_rif.wav,139718, the cigarettes in the clay ashtray overflowed onto the oak table
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SX67_rif.wav,109818, last year's gas shortage caused steep price increases
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SX427_rif.wav,78278, every cab needs repainting often
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SI2047_rif.wav,89338, stay right here where you are kid he called
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SA1_rif.wav,116780, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SA2_rif.wav,79302, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SX157_rif.wav,81760, remove the splinter with a pair of tweezers
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SI787_rif.wav,90566, feed pressure is also of major importance
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLSH0/SI1417_rif.wav,137056, there should be no reason to misinterpret or ignore the intent of this letter
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTAS0/SI1385_rif.wav,113504, markets should become more competitive as consumers become more selective
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTAS0/SX395_rif.wav,86470, i took her word for it but is she really going with you
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTAS0/SX215_rif.wav,87700, the sermon emphasized the need for affirmative action
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTAS0/SA1_rif.wav,94252, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MTAS0/SX305_rif.wav,70700, cottage cheese with chives is delicious
